id	sex	mother	father	generation	liability	birth_year
103	M	55	52	2	0.2322	2010
104	M	62	64	2	0.4715	2010
105	F	46	38	2	0.1554	2010
106	M	47	60	2	0.0532	2010
107	F	41	34	2	-0.7216	2010
108	M	36	59	2	-0.0973	2010
109	M	61	33	2	1.5734	2010
110	M	70	64	2	-0.7631	2010
111	M	56	40	2	0.2612	2010
112	M	48	45	2	1.1911	2010
113	M	51	37	2	0.4801	2010
114	M	57	60	2	0.9274	2010
115	F	35	58	2	-1.1104	2010
116	F	54	39	2	0.2637	2010
117	F	55	69	2	-0.2922	2010
118	M	47	31	2	-0.252	2010
119	F	44	32	2	1.4715	2010
120	M	61	67	2	-0.2369	2010
121	F	115	78	3	0.8138	2015
122	M	107	104	3	0.2329	2015
123	F	117	81	3	0.2703	2015
124	M	83	76	3	-0.1475	2015
125	M	93	103	3	0.3834	2015
126	F	77	108	3	-1.0585	2015
127	M	91	94	3	1.4815	2015
128	F	116	109	3	-0.8223	2015
129	F	85	81	3	0.8444	2015
130	M	75	111	3	1.329	2015
131	F	100	73	3	0.8418	2015
132	M	119	97	3	2.3277	2015
133	F	85	106	3	-2.0035	2015
134	F	93	74	3	-0.4577	2015
135	M	80	92	3	1.3096	2015
136	F	75	110	3	-1.2516	2015
137	M	86	82	3	-0.7941	2015
138	M	119	79	3	0.5242	2015
139	F	107	113	3	-1.4128	2015
140	F	71	87	3	0.0544	2015
141	M	105	98	3	0.4594	2015
142	M	96	84	3	0.1382	2015
143	M	89	102	3	0.2292	2015
144	M	83	82	3	-0.7047	2015
145	M	115	78	3	0.1968	2015
146	M	107	104	3	-0.3937	2015
147	F	117	81	3	-0.2658	2015
148	M	83	76	3	0.8295	2015
149	F	93	103	3	-1.2965	2015
150	M	77	108	3	-2.3336	2015
151	M	91	94	3	0.7494	2015
152	F	116	109	3	0.1978	2015
153	F	85	81	3	1.3277	2015
154	M	75	111	3	-0.7695	2015
155	M	100	73	3	-0.0981	2015
156	F	119	97	3	0.0921	2015
157	F	85	106	3	-0.5944	2015
158	F	93	74	3	-0.8881	2015
159	M	80	92	3	0.8036	2015
160	F	75	110	3	-1.3822	2015
161	M	86	82	3	-1.0405	2015
162	M	119	79	3	-0.1311	2015
163	F	107	113	3	0.9283	2015
164	M	71	87	3	-0.5339	2015
165	F	105	98	3	-0.6543	2015
166	F	96	84	3	-0.1892	2015
167	F	89	102	3	0.3619	2015
168	F	83	82	3	-0.3428	2015
169	F	115	78	3	1.0672	2015
170	F	107	104	3	1.1146	2015
171	F	140	151	4	-0.0861	2020
172	M	168	138	4	0.3446	2020
173	M	167	143	4	-0.6884	2020
174	F	165	141	4	1.6289	2020
175	F	126	144	4	-0.8877	2020
176	F	160	137	4	-0.1913	2020
177	M	156	142	4	-0.4425	2020
178	M	126	125	4	0.1315	2020
179	M	153	155	4	1.5647	2020
180	M	131	146	4	-0.9411	2020
181	F	133	122	4	0.4523	2020
182	M	149	125	4	0.6375	2020
183	M	139	127	4	1.1478	2020
184	M	158	132	4	-0.7866	2020
185	M	157	162	4	-0.8262	2020
186	F	123	135	4	-0.1792	2020
187	F	149	142	4	-0.1592	2020
188	M	157	154	4	-1.0085	2020
189	F	134	161	4	0.6627	2020
190	F	169	148	4	0.5565	2020
191	F	163	144	4	2.0351	2020
192	F	128	130	4	-0.3071	2020
193	F	140	154	4	-1.0323	2020
194	M	121	124	4	-0.8888	2020
195	M	147	127	4	0.3343	2020
196	F	139	145	4	-0.7655	2020
197	M	152	151	4	0.7394	2020
198	M	156	159	4	-0.6529	2020
199	M	129	161	4	0.188	2020
200	F	134	150	4	-0.068	2020
